     DATE        TIME   ,  Infosys,Wipro,TATA MOTORS,BAJAJ FINANCE,BANK OF INDIA,BIRLA,BOSCH,HDFC
2021-01-27 12:24:05.851484,1317.28,450.14,270.08,4863.74,50.07,719.41,385.13,15774.47,1451.04
2021-01-27 12:24:16.809299,1317.28,450.14,270.08,4863.74,50.07,719.41,385.13,15774.47,1451.04
2021-01-27 12:24:27.923620,1317.28,450.14,270.08,4863.74,50.07,719.41,385.13,15774.47,1451.04
2021-01-27 12:24:39.094142,1317.28,450.14,270.08,4863.74,50.07,719.41,385.13,15774.47,1451.04
2021-01-27 12:24:50.047783,1317.28,450.14,270.08,4863.73,50.07,719.41,385.18,15774.47,1451.1
2021-01-27 12:25:01.189116,1317.28,450.14,270.08,4863.73,50.07,719.41,385.18,15774.47,1451.04
2021-01-27 12:25:12.661355,1317.28,450.14,270.08,4863.72,50.07,719.39,385.18,15774.47,1451.04
2021-01-27 12:25:23.994449,1317.28,450.14,270.08,4863.72,50.07,719.39,385.18,15774.47,1451.04
2021-01-27 12:25:35.092463,1317.27,450.14,270.08,4863.71,50.07,719.39,385.18,15774.5,1451.04
2021-01-27 12:25:46.688966,1317.27,450.14,270.08,4863.71,50.07,719.39,385.18,15774.5,1450.97
2021-01-27 12:25:59.027617,1317.27,450.14,270.08,4863.71,50.07,719.39,385.18,15774.5,1450.97
2021-01-27 12:26:11.376703,1317.27,450.14,270.09,4863.71,50.07,719.38,385.18,15774.53,1450.97
2021-01-27 12:26:23.132696,1317.27,450.14,270.09,4863.71,50.07,719.38,385.18,15774.53,1450.97
2021-01-27 12:26:35.279359,1317.27,450.14,270.08,4863.71,50.07,719.39,385.18,15774.5,1450.97
2021-01-27 12:26:46.334844,1317.27,450.14,270.09,4863.71,50.07,719.38,385.18,15774.53,1450.97
2021-01-27 12:26:57.764365,1317.27,450.14,270.09,4863.71,50.07,719.38,385.18,15774.53,1450.97
2021-01-27 12:27:08.835355,1317.27,450.15,270.08,4863.71,50.07,719.38,385.19,15774.5,1450.97
2021-01-27 12:27:20.947559,1317.26,450.15,270.09,4863.71,50.07,719.38,385.21,15774.53,1450.97
2021-01-27 12:27:32.203024,1317.26,450.15,270.09,4863.71,50.07,719.38,385.21,15774.53,1450.97
2021-01-27 12:27:43.458604,1317.26,450.15,270.09,4863.71,50.07,719.38,385.21,15774.66,1450.97
2021-01-27 12:27:55.700616,1317.26,450.15,270.09,4863.71,50.07,719.38,385.21,15774.66,1450.85
2021-01-27 12:28:07.248381,1317.26,450.15,270.09,4863.71,50.07,719.38,385.21,15774.66,1450.85
